OG,category
COG2033,Energy production and conversion
COG1963,Function unknown
COG2039,"Post-translational modification, protein turnover, chaperone functions"
COG2038,Coenzyme metabolism
COG5114,Chromatin structure and dynamics
COG3296,Function unknown
COG3297,Intracellular trafficing and secretion
COG3294,Function unknown
COG3295,Function unknown
COG4969,Cell motility
COG3293,Replication and repair
COG3290,Signal transduction
COG3291,General functional prediction only
COG4965,Intracellular trafficing and secretion
COG4964,Intracellular trafficing and secretion
COG4967,Cell motility
COG4966,Cell motility
COG4961,Intracellular trafficing and secretion
COG4960,"Post-translational modification, protein turnover, chaperone functions"
COG3298,Replication and repair
COG3299,Function unknown
COG3541,General functional prediction only
COG1646,General functional prediction only
COG2105,Function unknown
COG3358,Function unknown
COG5619,Function unknown
COG2101,Transcription
COG2100,General functional prediction only
COG2103,General functional prediction only
COG2102,General functional prediction only
COG5618,General functional prediction only
COG2104,Coenzyme metabolism
COG2107,General functional prediction only
COG1776,Cell motility
COG2109,Coenzyme metabolism
COG5615,Function unknown
COG5616,Function unknown
COG5617,Function unknown
COG5610,General functional prediction only
COG5611,General functional prediction only
COG5612,Function unknown
COG5613,Function unknown
COG5614,General functional prediction only
COG2108,General functional prediction only
COG0460,Amino acid metabolism and transport
COG1678,Transcription
COG5101,Nuclear structure
COG1679,Function unknown
COG0462,Nucleotide metabolism and transport
COG3933,Transcription
COG2246,Function unknown
COG2247,Cell wall/membrane/envelope biogenesis
COG2244,General functional prediction only
COG2245,Function unknown
COG2242,Coenzyme metabolism
COG2243,Coenzyme metabolism
COG2240,Coenzyme metabolism
COG2241,Coenzyme metabolism
COG0464,"Post-translational modification, protein turnover, chaperone functions"
COG5118,Transcription
COG2248,General functional prediction only
COG3626,Inorganic ion transport and metabolism
COG3344,Replication and repair
COG3345,Carbohydrate metabolism and transport
COG3346,Function unknown
COG3347,Function unknown
COG3340,Amino acid metabolism and transport
COG5106,Function unknown
COG3342,Function unknown
COG1918,Inorganic ion transport and metabolism
